No,First Name,Last Name,Gender,Start Date,Years,Department,Country,Center,Monthly Salary,Annual Salary,Job Rate,Sick Leaves,Unpaid Leaves,Overtime Hours
509,Alaa,Sultan,Female,18-03-2019,6,IT,United Arab Emirates,Main,1351,16212,5,0,0,7
510,Sultan,Taysir,Male,06-10-2016,8,Product Development,Egypt,East,1406,16872,3,0,3,7
511,Hanan,Kurdiun,Female,08-01-2019,6,Account Management,Saudi Arabia,Main,1699,20388,5,0,2,5
512,Basil,Salih,Male,04-11-2017,7,Facilities/Engineering,Egypt,North,3007,36084,5,0,6,11
513,Rita,Dib,Female,26-06-2020,4,Product Development,Egypt,Main,879,10548,3,0,0,1
514,Muhamad,Alghush,Male,01-05-2019,5,Quality Assurance,Lebanon,North,2537,30444,2,0,0,3
515,Muhamad,Iismaeil,Male,15-11-2020,4,Account Management,Egypt,North,2663,31956,3,0,0,2
516,Khaldun,Alsaedi,Male,15-10-2020,4,Quality Control,Egypt,Main,2494,29928,4.5,2,0,2
517,Ghaliah,Eibad,Female,06-11-2019,5,Environmental Health/Safety,United Arab Emirates,North,2585,31020,5,1,5,7
518,Muhamad,Alsaedi,Male,10-12-2019,5,Green Building,United Arab Emirates,Main,1776,21312,2,0,0,0
519,Eala,Zaniqa,Female,15-09-2017,7,Facilities/Engineering,Egypt,North,3055,36660,3,0,4,9
520,Ayham,Sharfah,Male,13-01-2018,7,Manufacturing,Saudi Arabia,Main,1707,20484,3,0,0,4
521,Ahmad,Kazeur,Male,27-06-2019,5,Facilities/Engineering,United Arab Emirates,Main,2719,32628,3,0,0,7
522,Mujdi,Kiwan,Male,17-12-2020,4,Marketing,Egypt,South,1715,20580,3,0,0,10
523,Muhamad,Altynawi,Male,22-01-2019,6,Manufacturing,Egypt,West,2181,26172,2,0,0,1
524,Lama,Alhasan,Female,17-12-2017,7,Manufacturing,United Arab Emirates,North,1382,16584,5,0,4,8
525,Lama,Almisri,Female,06-05-2020,4,Manufacturing,Egypt,North,3350,40200,2,0,0,8
526,Thayir,Hamuwda,Male,09-05-2020,4,Facilities/Engineering,United Arab Emirates,East,1710,20520,5,0,0,9
527,Abdallah,Zakariaa,Male,08-05-2019,5,Manufacturing,United Arab Emirates,Main,2785,33420,1,0,4,3
528,Ikhlas,Alhasan,Female,15-11-2019,5,Human Resources,United Arab Emirates,Main,2425,29100,4.5,0,0,10
529,Muhamad,Jzayrly,Male,28-07-2018,6,Marketing,Egypt,South,1117,13404,3,3,0,8
530,Husam,Badr,Male,27-04-2019,5,Account Management,Egypt,Main,1112,13344,5,1,6,40
531,Rami,Hunun,Male,23-04-2020,4,Marketing,Egypt,West,1928,23136,4.5,6,0,1
532,Alia,Abu,Female,06-11-2018,6,Facilities/Engineering,Saudi Arabia,West,3300,39600,5,0,0,4
533,Samir,Sariji,Male,15-07-2020,4,Marketing,Egypt,North,2378,28536,5,0,0,5
534,Muhamad,Albieli,Male,26-06-2016,8,Quality Control,United Arab Emirates,Main,3138,37656,5,0,0,10
535,Ahmad,Eyd Bndqjy,Male,29-07-2017,7,Manufacturing,United Arab Emirates,Main,1981,23772,5,1,0,3
536,Maria,Lulu,Female,14-06-2018,6,Manufacturing,Saudi Arabia,North,1056,12672,3,0,0,94
537,Muhamad,Shhybr,Male,31-12-2019,5,Facilities/Engineering,Egypt,East,3295,39540,5,0,0,2
538,Abdalbasit,Aljazayiriu,Male,08-10-2019,5,Facilities/Engineering,Egypt,North,1022,12264,4.5,1,0,2
539,Bilal,Aywbi,Male,21-10-2020,4,Green Building,United Arab Emirates,Main,969,11628,3,1,0,0
540,Ahmad,Dabana,Male,13-04-2019,6,Environmental Compliance,Egypt,North,3354,40248,4.5,3,0,1
541,Fawaz,Ghazal,Male,21-01-2020,5,Quality Control,Egypt,North,2123,25476,5,0,0,15
542,Bisam,Altahhan,Female,20-09-2019,5,Facilities/Engineering,Egypt,West,897,10764,3,2,0,11
543,Muhamad,Amir,Male,17-04-2018,7,Quality Control,Saudi Arabia,Main,2925,35100,3,3,0,14
544,Lilas,Nafae,Female,05-09-2018,6,Quality Control,Egypt,Main,1895,22740,2,0,5,81
545,Muhamad,Ayman,Male,09-02-2016,9,Environmental Health/Safety,Egypt,West,2191,26292,5,2,0,7
546,Ranim,Earabi,Female,29-02-2020,5,Research/Development,Egypt,North,3130,37560,3,0,0,5
547,Amani,Altujjar,Female,21-11-2016,8,Product Development,Egypt,West,2654,31848,3,0,1,7
548,Muhamad,Rashid,Male,27-12-2020,4,Quality Control,Saudi Arabia,Main,859,10308,5,0,1,5
549,Amin,Hamid,Male,16-06-2016,8,Quality Assurance,Egypt,North,1113,13356,3,4,0,11
550,Khalid,Jameah,Male,17-09-2019,5,Account Management,Egypt,South,1234,14808,5,1,5,10
551,Fahd,Shaykh,Male,16-12-2019,5,Marketing,Egypt,North,2647,31764,3,4,0,1
552,Lilas,Kashik,Female,01-08-2016,8,Green Building,Saudi Arabia,North,2200,26400,1,1,0,6
553,Fatima,Hasan,Female,24-03-2018,7,Major Mfg Projects,Egypt,North,2381,28572,4.5,2,0,10
554,Diea,Dakhal,Male,18-12-2019,5,Account Management,United Arab Emirates,Main,2329,27948,2,0,0,5
555,Amir,Karishati,Male,30-07-2019,5,Manufacturing,Egypt,Main,1075,12900,3,0,4,61
556,Madlin,Alsaed,Female,05-10-2017,7,Marketing,Egypt,Main,3110,37320,1,1,4,1
557,Adnan,Aleaqla,Male,23-05-2017,7,Manufacturing,Egypt,North,2777,33324,5,0,0,10
558,Muhamad,Eursaly,Male,01-03-2019,6,Training,Egypt,West,2306,27672,2,5,5,11
559,Ranya,Alaishhab,Female,18-12-2016,8,Quality Assurance,Egypt,Main,1213,14556,3,0,0,10
560,Rulaa,Shannar,Female,19-04-2020,4,Quality Assurance,Egypt,South,2680,32160,4.5,0,0,1
561,Aynas,Alhiwat,Female,17-11-2020,4,Quality Assurance,Egypt,East,2204,26448,4.5,1,0,4
562,Sara,Tabanaj,Female,13-01-2018,7,Manufacturing,Egypt,Main,1297,15564,2,2,0,8
563,Abd Allah,Aldahan,Male,14-12-2020,4,Quality Control,Egypt,North,3024,36288,4.5,6,1,48
564,Muhamad,Ramzi,Male,11-02-2018,7,Creative,Egypt,Main,2228,26736,5,1,0,78
565,Jan,Mikayiylian,Male,08-01-2016,9,Quality Assurance,Egypt,West,2009,24108,4.5,6,0,0
566,Almuthanaa,Alsaediu,Male,13-09-2020,4,Account Management,Egypt,North,2573,30876,5,0,0,28
567,Emad,Dulul,Male,04-04-2018,7,Manufacturing,Egypt,North,1938,23256,3,0,0,7
568,Sarah,Haydar,Female,17-07-2019,5,Account Management,Egypt,Main,1208,14496,5,3,0,10
569,Abdalkarim,Shueayb,Male,17-07-2019,5,Manufacturing Admin,Syria,West,2342,28104,4.5,5,0,10
570,Muhamad,Khayr,Male,29-04-2020,4,IT,Egypt,Main,3244,38928,4.5,0,0,78
571,Shadi,Qitan,Male,04-04-2017,8,Account Management,Egypt,North,2613,31356,4.5,0,1,5
572,Muhamad,Rajab,Male,19-12-2020,4,Manufacturing,Saudi Arabia,Main,2263,27156,5,0,0,9
573,Khalid,Alkhawam,Male,06-07-2016,8,Account Management,Egypt,East,3157,37884,5,0,0,1
574,Muhamad,Asamh,Male,07-03-2018,7,Account Management,Syria,South,2519,30228,5,2,2,10
575,Alaa,Alyusif,Female,04-03-2020,5,IT,United Arab Emirates,West,3019,36228,4.5,2,0,15
576,Asym,Aleaqqad,Female,22-04-2019,5,Manufacturing,United Arab Emirates,East,3048,36576,2,3,6,6
577,Ahmad,Dahman,Male,12-12-2019,5,Manufacturing,Egypt,West,1523,18276,4.5,0,4,2
578,Oqba,Alqintar,Male,09-02-2019,6,Marketing,Egypt,East,2197,26364,1,1,0,8
579,Rahaf,Laylanaan,Female,01-04-2019,6,Product Development,Egypt,Main,1870,22440,4.5,0,3,15
580,Muhamad,Rajab,Male,17-03-2018,7,Manufacturing,United Arab Emirates,Main,1058,12696,5,0,0,10
581,Ramadan,Muhii Aldiyn,Male,03-10-2019,5,Sales,Egypt,South,1257,15084,4.5,1,3,2
582,Zaynab,Eirat,Female,26-12-2019,5,Product Development,United Arab Emirates,Main,819,9828,4.5,5,0,7
583,Salah Aldiyn,Altibae,Male,06-11-2019,5,Research Center,United Arab Emirates,North,3068,36816,2,4,0,8
584,Faras,Alghandur,Male,25-09-2019,5,IT,Syria,East,1814,21768,3,0,0,6
585,Husam,Tamim,Male,20-05-2019,5,Quality Control,Egypt,East,1076,12912,5,1,0,4
586,Ayat,Byd,Female,01-01-2017,8,Environmental Health/Safety,Egypt,North,3120,37440,3,3,0,2
587,Rima,Daly,Female,29-08-2020,4,Quality Control,Egypt,North,1359,16308,2,0,0,8
588,Muhamad,Almunajid,Male,04-01-2020,5,Manufacturing,Egypt,North,3391,40692,1,0,3,1
589,Eynas,Muhamad,Female,11-08-2020,4,IT,Syria,Main,1892,22704,5,0,0,6
590,Ahmad,Ahmid,Male,23-02-2020,5,Manufacturing,Egypt,West,2639,31668,1,1,0,3
591,Madlin,Aljabaei,Female,27-07-2020,4,Facilities/Engineering,Egypt,North,1580,18960,5,2,5,6
592,Ali,Alqadri,Male,15-08-2019,5,Quality Control,Egypt,North,2186,26232,3,0,0,4
593,Muhamad,Dib,Male,07-08-2019,5,Facilities/Engineering,United Arab Emirates,West,1574,18888,2,0,0,6
594,Hanan,Bradiei,Female,23-02-2018,7,Account Management,Saudi Arabia,North,2013,24156,4.5,6,0,8
595,Danah,Suirkili,Female,05-01-2020,5,IT,Egypt,North,2075,24900,2,0,0,5
596,Ghada,Darakal,Female,05-05-2018,6,Manufacturing,Egypt,North,1372,16464,1,0,3,2
597,Mazin,Bihtiti,Male,03-08-2018,6,Facilities/Engineering,Egypt,Main,2026,24312,4.5,0,0,7
598,Ridwan,Alshulyan,Male,29-04-2017,7,Manufacturing,United Arab Emirates,North,1351,16212,2,0,0,8
599,Ali,Barghaly,Male,29-05-2017,7,Quality Control,Egypt,West,1111,13332,1,3,0,6
600,Iad,Badran,Male,04-07-2020,4,Quality Control,Egypt,North,1554,18648,5,6,5,8
601,Abdalrhmin,Shwk,Male,20-10-2019,5,Quality Assurance,Saudi Arabia,West,3057,36684,5,0,0,0
602,Husam,Aldiyn,Male,19-12-2018,6,IT,Saudi Arabia,South,1733,20796,3,0,0,3
603,Ahmad,Hamuwdatan,Male,24-01-2016,9,Environmental Health/Safety,Egypt,Main,1511,18132,5,0,0,2
604,Ahmad,Laylana,Male,02-01-2017,8,Sales,Egypt,Main,2542,30504,5,0,6,6
605,Shuruq,Aljuju,Female,31-12-2019,5,Quality Control,Egypt,North,1573,18876,1,2,0,3
606,Muhamad,Alshahrur,Male,02-10-2017,7,Manufacturing,Syria,Main,2604,31248,3,0,0,1
607,Rafif,Khalf,Female,07-05-2019,5,Quality Assurance,Syria,West,3152,37824,5,0,0,8
608,Muhamad,Alkhatib,Male,23-09-2020,4,Account Management,United Arab Emirates,East,2655,31860,5,0,0,6
609,Muhamad,Albarnawi,Male,12-02-2016,9,Manufacturing Admin,Egypt,South,1405,16860,5,6,0,10
610,Ali,Almiqdad,Male,14-05-2018,6,Manufacturing,Egypt,North,3100,37200,5,0,0,7
611,Ranya,Faris,Female,31-07-2017,7,Manufacturing,United Arab Emirates,East,2729,32748,4.5,0,0,6
612,Ali,Alshaykh,Male,09-07-2018,6,Marketing,Egypt,Main,1467,17604,5,0,0,7
613,Iin,Kafa,Female,25-02-2017,8,Manufacturing,Saudi Arabia,Main,1612,19344,5,0,0,4
614,Muhamad,Almaghribi,Male,19-04-2019,5,Quality Control,Egypt,Main,2901,34812,5,0,0,6
615,Sami,Aldrwysh,Male,05-08-2017,7,Environmental Health/Safety,Egypt,Main,1999,23988,3,0,0,4
616,Samah,Alkhatib,Female,19-05-2018,6,Account Management,Saudi Arabia,North,705,8460,3,6,0,8
617,Eala,Hatim,Female,29-09-2019,5,Sales,Egypt,North,3311,39732,4.5,0,0,1
618,Dalia,Nahlawi,Female,07-01-2018,7,Manufacturing,Egypt,West,2516,30192,3,6,0,3
619,Rabye',Alzrqawy,Male,04-10-2019,5,Account Management,Saudi Arabia,North,2000,24000,3,1,0,0
620,Kholoud,Huquq,Female,27-09-2019,5,Facilities/Engineering,United Arab Emirates,South,2860,34320,3,0,6,7
621,Ibrahim,Alqatish,Male,02-04-2019,6,Quality Control,Egypt,East,943,11316,4.5,0,0,1
622,Salih,Altawil,Male,12-09-2019,5,Quality Control,Syria,Main,1018,12216,2,5,0,10
623,Sami,Alsyd Ahmad,Male,06-02-2019,6,Quality Control,Egypt,South,1835,22020,3,1,0,50
624,Zahir,Aleitar,Male,05-09-2018,6,Quality Assurance,Syria,West,2192,26304,4.5,0,4,1
625,Fatir,Alealiu,Male,25-06-2019,5,Manufacturing,Egypt,Main,2875,34500,3,0,0,4
626,Samir,Alealiu,Male,29-09-2019,5,Marketing,Saudi Arabia,West,1332,15984,2,0,0,14
627,Muhamad,Sulayman,Male,02-12-2017,7,IT,Saudi Arabia,North,2023,24276,5,6,0,5
628,Muhamad,Suqabani,Male,21-11-2020,4,Quality Assurance,Egypt,East,2094,25128,4.5,6,5,2
629,Muhamad,Aldubbas,Male,01-06-2019,5,Green Building,Saudi Arabia,North,3006,36072,4.5,0,3,7
630,Hamzaa,Astitih,Male,26-11-2019,5,Manufacturing,United Arab Emirates,Main,2717,32604,5,0,0,7
631,Sulayman,Zinu,Male,14-08-2018,6,Training,United Arab Emirates,Main,3135,37620,3,1,0,5
632,Alaa,Alrifaei,Female,07-11-2019,5,Account Management,United Arab Emirates,North,2334,28008,1,2,0,2
633,Rasha,Alrifaei,Female,22-01-2019,6,Account Management,Egypt,North,1661,19932,5,4,0,9
634,Bayan,Darbika,Female,10-05-2019,5,Research Center,Egypt,East,1230,14760,5,0,6,5
635,Iin,Almunzilijiu,Female,05-03-2016,9,Sales,Saudi Arabia,Main,1483,17796,5,0,2,8
636,Abd Alwahhab,Aldhiyab,Male,29-05-2019,5,Quality Control,United Arab Emirates,North,2462,29544,3,6,3,2
637,Hanan,Salahi,Female,29-12-2020,4,Quality Assurance,Egypt,East,2180,26160,5,3,0,0
638,Mari,Ayuwb,Female,25-07-2016,8,Creative,Egypt,North,943,11316,5,0,4,7
639,Omar,Shawqi,Male,11-08-2019,5,Major Mfg Projects,Egypt,Main,2489,29868,3,6,0,3
640,Tariq,Aldhahabi,Male,12-11-2019,5,Product Development,Egypt,South,2279,27348,5,0,0,4
641,Rama,Asead,Female,14-01-2019,6,Quality Assurance,Saudi Arabia,Main,840,10080,3,4,0,10
642,Ghayth,Eali,Male,15-02-2019,6,Quality Control,Egypt,North,1601,19212,5,0,0,3
643,Mahir,Eabuwd,Male,28-04-2018,6,Account Management,Egypt,North,1414,16968,5,4,0,10
644,Muwmin,Almujahid,Male,25-03-2020,5,IT,United Arab Emirates,North,905,10860,3,0,0,8
645,Dima,Drwysh,Female,04-03-2020,5,Facilities/Engineering,United Arab Emirates,North,2525,30300,3,0,0,10
646,Muhamad,Khalid,Male,25-05-2018,6,Sales,Egypt,North,1412,16944,2,0,0,7
647,Diea,Filyun,Male,04-01-2020,5,Manufacturing,Syria,Main,2397,28764,3,0,0,100
648,Muhamad,Tasbihji,Male,12-08-2020,4,Account Management,Egypt,North,1153,13836,4.5,0,2,10
649,Mazin,Shumut,Male,05-08-2017,7,Account Management,Egypt,North,2091,25092,2,0,0,6
650,Omar,Zaqzuq,Male,29-06-2020,4,Manufacturing,United Arab Emirates,West,1444,17328,5,3,0,7
651,Yasmin,Eamir,Female,01-03-2017,8,Manufacturing,Egypt,North,2360,28320,4.5,0,0,1
652,Muhamad,Haydar,Male,12-12-2020,4,Facilities/Engineering,United Arab Emirates,North,2576,30912,1,6,0,6
653,Muhamad,Ratib,Male,24-11-2019,5,Account Management,Egypt,Main,2376,28512,2,6,0,57
654,Muayid,Siedih,Male,04-08-2019,5,Facilities/Engineering,United Arab Emirates,North,2924,35088,4.5,0,0,10
655,Husam,Alhamd,Male,19-02-2017,8,Quality Assurance,Saudi Arabia,West,2548,30576,1,0,0,10
656,Abdalkrim,Fadal,Male,22-01-2020,5,Account Management,Saudi Arabia,South,841,10092,1,4,0,7
657,Bayan,Eurnus,Female,15-05-2020,4,Manufacturing,Egypt,North,3017,36204,3,0,0,6
658,Abd Almueiyn,Eitaya,Male,26-01-2018,7,Facilities/Engineering,United Arab Emirates,North,1077,12924,5,0,0,9
659,Sahar,Qisam,Female,03-05-2018,6,Marketing,Egypt,South,3316,39792,4.5,0,0,8
660,Rafat,Musaa,Male,08-12-2018,6,Creative,Syria,South,2188,26256,4.5,5,0,9
661,Shafiq,Almalih,Male,04-02-2019,6,Creative,United Arab Emirates,South,1684,20208,5,0,0,6
662,Raghad,Aghasi,Female,14-11-2019,5,Account Management,Egypt,Main,716,8592,3,0,0,8
663,Ruba,Alhumwi,Female,19-05-2019,5,Manufacturing,Egypt,North,2703,32436,2,0,0,4
664,Bilal,Alqalish,Male,08-07-2018,6,Manufacturing Admin,Egypt,East,2361,28332,5,0,0,1
665,Muhamad,Almisri,Male,06-11-2020,4,Manufacturing,Egypt,Main,1797,21564,1,6,0,7
666,Husayn,Hawria,Male,13-06-2020,4,Environmental Compliance,Egypt,East,2252,27024,3,0,0,2
667,Safa,Alshahadat,Female,30-09-2018,6,Manufacturing,Egypt,North,2486,29832,5,5,2,9
668,Ahmad,Aldiyk,Male,13-06-2020,4,Manufacturing,Egypt,North,1197,14364,2,4,0,8
669,Hind,Almueasaeas,Female,05-05-2019,5,Facilities/Engineering,Saudi Arabia,North,3389,40668,3,1,0,7
670,Dania,Earmush,Female,01-12-2019,5,Product Development,United Arab Emirates,Main,2760,33120,1,6,6,1
671,Ayly,Bahriin,Male,14-09-2017,7,Professional Training Group,Saudi Arabia,Main,1232,14784,5,3,0,10
672,Jihan,Nadir,Female,18-04-2019,5,Facilities/Engineering,United Arab Emirates,North,1045,12540,5,6,0,4
673,Muhamad,Sharif Aldaghly,Male,04-01-2018,7,IT,Egypt,West,3257,39084,3,0,0,6
674,Emara,bwalsibae,Female,01-03-2018,7,Facilities/Engineering,Egypt,South,3026,36312,3,4,0,1
675,Razzan,Alhusayni,Female,28-10-2019,5,Quality Assurance,Egypt,North,1898,22776,4.5,1,0,2
676,Ghassan,Aljamal,Male,24-06-2018,6,Manufacturing,Egypt,South,2778,33336,3,2,0,20
677,Omar,Kahulus,Male,04-01-2018,7,Quality Assurance,Syria,North,2880,34560,2,4,0,5
678,Amjad,Nasir,Male,14-03-2019,6,Research Center,Saudi Arabia,Main,2815,33780,3,6,0,2
679,Iman,Ghrz Aldiyn,Female,14-12-2018,6,Green Building,Syria,East,1134,13608,2,0,0,14
680,Alysia,Alyaghshiu,Female,19-10-2019,5,Training,United Arab Emirates,West,3334,40008,1,0,0,4
681,Ayham,Alqadi,Male,30-05-2020,4,Manufacturing,Syria,East,2574,30888,3,3,0,4
682,Diea,Shuelan,Male,06-03-2019,6,Manufacturing,Egypt,West,1123,13476,1,0,0,7
683,Husam,Alsaed,Male,12-05-2016,8,Account Management,United Arab Emirates,Main,2147,25764,3,0,4,2
684,Asd,Bwfaeur,Male,27-06-2017,7,IT,Egypt,Main,2929,35148,4.5,0,0,2
685,Sari,Hanna,Male,26-05-2020,4,Marketing,Lebanon,South,1452,17424,2,0,3,1
686,Eubayda,Kayd,Male,03-06-2020,4,Facilities/Engineering,Egypt,North,3237,38844,3,1,0,4
687,Khalil,Alkalu,Male,11-07-2017,7,Facilities/Engineering,Egypt,North,2819,33828,5,0,0,0
688,Muhamad,Shrbjy,Male,30-05-2018,6,Creative,Egypt,North,2069,24828,3,0,0,10
689,Abd Albasit,AlAhmar,Male,05-08-2020,4,IT,United Arab Emirates,North,2606,31272,5,0,0,0
